school_name,district_name,county,state,grades_served,school_type,address,city,zip,main_phone,website,latitude,longitude,nces_id,source_url,date_imported,date_verified,verification_status
Ontario High School,Ontario School District,Malheur,OR,9-12,Public high school,1115 W Idaho Ave,Ontario,97914,,https://ohs.ontario.k12.or.us/,,,,https://ohs.ontario.k12.or.us/,2026-07-10,2026-07-10,verified
Fruitland High School,Fruitland School District,Payette,ID,9-12,Public high school,,Fruitland,83619,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Fruitland+High+School&State=16,2026-07-10,2026-07-10,unverified
Payette High School,Payette Joint School District,Payette,ID,9-12,Public high school,,Payette,83661,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Payette+High+School&State=16,2026-07-10,2026-07-10,unverified
Parma High School,Parma School District,Canyon,ID,9-12,Public high school,,Parma,83660,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Parma+High+School&State=16,2026-07-10,2026-07-10,unverified
Notus Jr/Sr High School,Notus School District,Canyon,ID,7-12,Public jr/sr high school,,Notus,83656,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Notus+Jr%2FSr+High+School&State=16,2026-07-10,2026-07-10,unverified
Wilder Jr/Sr High School,Wilder School District,Canyon,ID,7-12,Public jr/sr high school,,Wilder,83676,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Wilder+Jr%2FSr+High+School&State=16,2026-07-10,2026-07-10,unverified
Caldwell Senior High School,Caldwell School District,Canyon,ID,9-12,Public high school,,Caldwell,83605,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Caldwell+Senior+High+School&State=16,2026-07-10,2026-07-10,unverified
Canyon Springs High School,Caldwell School District,Canyon,ID,9-12,Alternative high school,,Caldwell,83605,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Canyon+Springs+High+School&State=16,2026-07-10,2026-07-10,unverified
Vallivue High School,Vallivue School District,Canyon,ID,9-12,Public high school,,Caldwell,83607,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Vallivue+High+School&State=16,2026-07-10,2026-07-10,unverified
Ridgevue High School,Vallivue School District,Canyon,ID,9-12,Public high school,,Nampa,83687,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Ridgevue+High+School&State=16,2026-07-10,2026-07-10,unverified
Nampa Senior High School,Nampa School District,Canyon,ID,9-12,Public high school,,Nampa,83686,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Nampa+Senior+High+School&State=16,2026-07-10,2026-07-10,unverified
Columbia High School,Nampa School District,Canyon,ID,9-12,Public high school,,Nampa,83687,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Columbia+High+School&State=16,2026-07-10,2026-07-10,unverified
Skyview High School,Nampa School District,Canyon,ID,9-12,Public high school,,Nampa,83686,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Skyview+High+School&State=16,2026-07-10,2026-07-10,unverified
Union High School,Nampa School District,Canyon,ID,9-12,Alternative high school,,Nampa,83686,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Union+High+School&State=16,2026-07-10,2026-07-10,unverified
Idaho Arts Charter School,Idaho Arts Charter School,Canyon,ID,9-12,Public charter high school,,Nampa,83687,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Idaho+Arts+Charter+School&State=16,2026-07-10,2026-07-10,unverified
Liberty Charter School,Liberty Charter School,Canyon,ID,9-12,Public charter high school,,Nampa,83686,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Liberty+Charter+School&State=16,2026-07-10,2026-07-10,unverified
Vision Charter School,Vision Charter School,Canyon,ID,9-12,Public charter high school,,Caldwell,83605,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Vision+Charter+School&State=16,2026-07-10,2026-07-10,unverified
Weiser High School,Weiser School District,Washington,ID,9-12,Public high school,,Weiser,83672,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Weiser+High+School&State=16,2026-07-10,2026-07-10,unverified
Cambridge Jr/Sr High School,Cambridge School District,Washington,ID,7-12,Public jr/sr high school,,Cambridge,83610,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Cambridge+Jr%2FSr+High+School&State=16,2026-07-10,2026-07-10,unverified
Council Jr/Sr High School,Council School District,Washington,ID,7-12,Public jr/sr high school,,Council,83612,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Council+Jr%2FSr+High+School&State=16,2026-07-10,2026-07-10,unverified
Emmett High School,Emmett Independent School District,Gem,ID,9-12,Public high school,,Emmett,83617,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Emmett+High+School&State=16,2026-07-10,2026-07-10,unverified
